Historical Period,Time/Century,Edition_ID,URL,Scholarly,Digital,Edition,Prototype,Language,Writing support,Begin date,End date,Manager,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML-TEI available to download,Images,Zoom images,"Image manipulation (brightness, saturation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile compatibility/application,Print-friendly view,Print facsimile (complementary output),Manuscript(s') repository,Manuscript place of origin,Sponsor/Funding body,Budget (rough),Infrastructure,CDROM: Easy to access?,CDROM: Cost
Middle Ages,8th,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,http://diglib.hab.de/edoc/ed000006/startx.htm,no information provided,no information provided,no information provided,1,LAT,Codex,2007,2010,Torsten Schaßan,Herzog August Bibliothek Wolfenbüttel,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,1,no information provided,no information provided,no information provided,GER,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,18th,The Thomas Gray Archive,http://www.thomasgray.org/,1,1,1,1,"ENG, LAT, GRE",Manuscripts,2000,present,Alexander Huber,University of Oxford,Scholars,1,1,no information provided,1,no information provided,1,0,no information provided,no information provided,0,ENG,1,no information provided,1,no information provided,0,"1,5",no information provided,1,no information provided,1,1,Keyed,0,0,0,Various,Various,Institutional funding,no information provided,HTML5; CSS; jQuery; custom built,N/A,N/A
Middle Ages,14th,A critical edition of the poetry of Dafydd ap Gwilym,http://www.dafyddapgwilym.net/,1,1,1,0,WEL,Manuscript,2002,2007,Alexander Roberts; Dafydd Johnston,University of Swansea,Mainly students of Celtic Studies,no information provided,1,1,1,no information provided,1,no information provided,0,0,0,WEL; ENG,no information provided,no information provided,0,0,0,1,0,0,no information provided,no information provided,no information provided,Keyed,no information provided,1,no information provided,Various,"Brogynin, Penrhyn-coch, Wales",AHRC,no information provided,Javascript; Perl; Xmetal; Microsoft Active Server Pages (ASP); Microsoft SQL Server 2000; Anastasia; GroveMaker,N/A,N/A
Antiquity,5th but the website also contains later work,Saint Patrick's Confessio,http://www.confessio.ie/#,1,1,1,1,LAT,Manuscript; Prints,no information provided,no information provided,Anthony Harvey,Royal Irish Academy; National University of Ireland; University College Dublin; Cologne Center for eHumanities; Irish Centre for High End Computing; Herzog August Bibliothek Wolfenbüttel,no information provided,1,no information provided,"0,5",1,no information provided,1,1,0,0,ENG; GER; GLA; ITA; POR ,ENG,no information provided,no information provided,1,no information provided,1,1,no information provided,0,no information provided,1,1,Keyed,no information provided,no information provided,no information provided,"Various (Paris, Rouen, Arras, Salisbury, London, Oxford)",no information provided,Royal Irish Academy; Higher Education Authority; European Regional Development Fund,no information provided,Drupal,N/A,N/A
Middle Ages; Early Modern,14th-18th,Liber Matriculae - Il libro della matricola dei notai di Vercelli,http://scrineum.unipv.it/LM/home.html,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,1999,no information provided,Antonio Olivieri,Università degli Studi di Pavia,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,1,0,0,no information provided,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Archivio Storico Comunale di Vercelli,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1662-1686,Correspondance de Pierre Bayle,http://bayle-correspondance.univ-st-etienne.fr/?lang=fr,no information provided,no information provided,no information provided,no information provided,FRE ,Manuscript; letters,no information provided,no information provided,Antony McKenna,"Institut Claude Longeon, IHPC, CNRS UMR 5037; Université Jean Monnet Saint-Etienne; Université de Montpellier 3",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,1st-2nd AD,Vindolanda Tablets Online,http://vindolanda.csad.ox.ac.uk/index.shtml,no information provided,no information provided,no information provided,no information provided,LAT,Tablet,2001,2003,Charles Crowther; Alan Bowman,University of Oxford,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,1,no information provided,no information provided,0,ENG,no information provided,1,1,1,0,no information provided,0,0,1,no information provided,1,Keyed,no information provided,1,no information provided,The British Museum,"Vindolanda, UK",no information provided,no information provided,no information provided,N/A,N/A
Antiquity,1st-2nd AD,Vindolanda Tablets Online II,http://vto2.classics.ox.ac.uk/,no information provided,no information provided,no information provided,no information provided,LAT,Tablet,no information provided,no information provided,Charles Crowther; Alan Bowman,University of Oxford,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,The British Museum,"Vindolanda, UK",Andrew W. Mellon Foundation,no information provided,no information provided,N/A,N/A
Early Modern,1776,"Bérardier de Bataut, Essai sur le récit, Entretiens sur la manière de raconter",http://www.berardier.org/,no information provided,no information provided,no information provided,no information provided,FRE ,Print,no information provided,no information provided,Christof Schöch,Universität Würzburg,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Various,no information provided,no information provided,no information provided,Drupal,N/A,N/A
Antiquity,Mid 4th AD,Codex Sinaiticus,http://codexsinaiticus.org/en/,1,1,1,1,GRC,Codex,2003,present,Claire Breay; Leander Seige; Father Justin; Ekaterina Krushelnitskaya,British Library; National Library of Russia; St. Catherine's Monastery; Leipzig University Library,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,0,1,"0,5",ENG; GER; GRE; RUS,no information provided,no information provided,1,1,0,1,0,0,no information provided,1,0 (all here),Keyed,no information provided,no information provided,no information provided,British Library; Library of the University of Leipzig; National Library of Russia; Holy Monastery of the God-Trodden Mount Sinai,"Saint Catherine's Monastery. Mount Sinai, Egypt",AHRC; Deutsche Forschungsgemeinschaft; Stavros Niarchos Foundation; A.G. Leventis Foundation,no information provided,HTML; CSS; JavaScript; AJAX,N/A,N/A
Early Modern,1740s-1770s,"The Saint-Aubins ""Book of Arses"": The Livre de Caricatures tant bonnes que mauvaises",http://www.waddesdon.org.uk/collection/special-projects/st.-aubin,no information provided,no information provided,no information provided,no information provided,FRE,Manuscript,forthcoming,no information provided,Colin Jones,Queen Mary University,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC,no information provided,no information provided,N/A,N/A
Antiquity,no information provided,Catullus Online,http://www.catullusonline.org/CatullusOnline/index.php,1,1,1,1,LAT,no information provided,2009,2013,Dániel Kiss,Ludwig-Maximilians-Universität München,Specialists; researchers; students,no information provided,no information provided,no information provided,0,no information provided,1,1,0,0,0,ENG,0,0,1,1,0,1,0,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,forthcoming,Various,no information provided,Ludwig-Maximilians-Universität München,€10000,"JavaScript, HTML, CSS",N/A,N/A
Middle Ages,10th - 11th,Digital edition of the Old Church Slavonic Codex Suprasliensis,http://suprasliensis.obdurodon.org/,0,0,0,0,CHU,Manuscript,2008,present,David J. Birnbaum,Department of Slavic Languages and Literatures at University of Pittsburgh; National Library in Warsaw; National Library of Russia in St. Petersburg; National and University Library in Ljubljana,no information provided,1,1,1,0,no information provided,1,1,0,0,GRC,ENG,0,0,0,0,1,1,0,0,0,"0,5",0,Keyed,no information provided,0,0,National Library of Warsaw; National Library of Russia; National and University Library of Slovenia,"Preslav, Bulgaria",UNESCO,"Partly funded, awaiting more information from team",obdurodon.org,N/A,N/A
